,编号,主办单位,标题,公告日期,内容
0,1,华东政法大学,华东政法大学第17期“东方明珠大讲坛”,2020-12-24,主  题：大道之行：从“孔门理财学”到近代福利国家的建构主讲人：聂  鑫 清华大学法学院副院长、教授 与谈人：谢立斌 中国政法大学中德法学院院长、教授    吴文芳 上海财经大学法学院研究员致辞人：屈文生 华东政法大学科研处处长、教授主持人：陆宇峰 华东政法大学科研处副处长、教授时  间：12月29日18：30～21：00 内容摘要：在传统中国思想中，社会（福利）政策一直占有一席之地；尽管历代政府实施社会政策的效果有所不同，但其本身已成为传统国家治理理念的基本组成部分，早熟的官僚体制为社会政策的落实提供了必要条件。无独有偶，在16-18世纪的德语国家，社会救济的责任也由教会转移给了政府；在以普鲁士为代表的福利国家的建构过程中，官僚体系也逐渐成熟壮大。近代中国遭遇了严重的自然灾害与战乱，社会救济刻不容缓；政府也以复兴中国传统的“大同”理想为号召，部分移植了以德国为代表的西方社会福利制度。在近代中国转型的过程中，社会立法蓬勃发展，社会福利由消极的临时性赈济变为积极的常态化救济，由在上者单方面的“恩赐”转变为国家的责任与人民的权利。社会立法是中国近代国家建构的一个组成部分，中德两国在福利国家模式上的类似选择源于自身的政治体制与文化传统。讲座为ZOOM线上讲座，报名敬请关注学术华政公众号。 
1,2,华东政法大学,李春涛：网络爬虫在金融学研究中的应用,2020-12-23,"题  目：网络爬虫在金融学研究中的应用主讲人：李春涛中南财经政法大学金融学院教授主持人：高汉 华东政法大学商学院院长时  间：2020年12月23日（周三）14:00地  点：综合事务楼西201主讲人简介：李春涛教授，河南叶县人，香港大学金融学博士，中南财经政法大学金融学院教授，博士生导师，河南大学“攀登计划”兼职教授，主要研究方向为公司治理和企业创新，在Journal of Comparative Economics、International Journal of Auditing、Stata Journal、《经济研究》、《管理世界》、《金融研究》、《中国工业经济》、《会计研究》等期刊发表论文50余篇。主持多项国家自然科学基金面和教育人文社科项目。李春涛教授是数据分析的专家，有20余年的stata编程经验，编写过许多stata命令，比如wordconvert, subinfile, psemail, reg2docx, sum2docx, cntrade，chinaintraday等，这些命令让中国数据免费且唾手可得，让实证研究异常容易。李老师的Stata和Python培训课程已经在武汉大学、厦门大学、华中科技大学、中央财经大学、西南财经大学、中南财经大学、郑州大学、广西大学、河南大学、石河子大学、华侨大学、福州大学、华中农业大学等高校开展。李老师培养的学生分别在香港大学、香港岭南大学、香港理工大学、香港城市大学、中欧商学院、恒生商学院和澳门大学等高校从事研究助理工作，深受用户好评，他的许多学生也得以去名校攻读博士学位，包括清华五道口金融学院、北京大学光华管理学院、上海交通大学安泰经济管理学院、武汉大学经济管理学院、华中科技大学管理学院、上海财经大学公共管理学院等。 "
2,3,华东政法大学,商学院学术沙龙第二十一期,2020-12-16,主  题：经济学管理学学术论文的创作要领主讲人：李金华 中国社会科学院大学教授、博士生导师主持人：徐大丰 副教授 华东政法大学商学院时  间：2020年12月18日（星期五）13:30地  点：长宁校区东风楼202主讲人简介：李金华，经济学博士，南加州大学富布莱特访问学者。现任中国社会科学院数量经济与技术经济研究所研究员（二级），中国社会科学院大学教授、博士生导师；《数量经济技术经济研究》杂志常务副主编、杂志创新岗总编辑；中国数量经济学会常务副会长兼秘书长。国家社科基金学科组评议专家，享受国务院政府特殊津贴专家。曾主持国家自然科学基金项目、国家社科基金项目、中国社会科学院A类重大课题等6项。担任国家社科基金重大招标课题执行负责人，出版学术专著4部，参编著作、主编教材10余部；在《中国社会科学》《经济研究》《管理世界》《统计研究》《经济学动态》《财贸经济》《国外社会科学》Social Sciences in China，International Journal of Innovative Computing， Information and Control (SCI)，International Journal of Intelligent Technologies and Applied Statistics，《光明日报》《人民日报》《经济日报》《中国社会科学报》《文汇报》《中国社科院要报》等期刊或报刊独立公开发表学术论文、理论文章和《要报》文章290余篇；10篇文章被《新华文摘》《中国社会科学文摘》转载，30余篇文章被《人大复印报刊资料》转载。撰写的智库类文章4次获中央主要领导批示，4次获中央重要领导批示，十余次获省部级领导批示。主持的科研成果曾获中国社会科学院第九届优秀科研成果二等奖，撰写的《要报》成果获中国社会科学院优秀对策信息研究成果一等奖1次、特等奖5次，并获第十届全国统计优秀科研成果二等奖；2017年、2019年两次入选人大复印报刊资料重要转载来源作者名单；指导的博士生论文曾获中国社科院研究生院优秀博士学位论文。研究领域：统计学、数量经济学 
3,4,华东政法大学,社会科学研究中的量化政策评价方法与应用,2020-12-04,主  题：社会科学研究中的量化政策评价方法与应用主讲人：邸俊鹏 南开大学数量经济学博士、上海社会科学院经济学博士后、经济研究所统计与数量经济学研究室副研究员、伦敦政治经济学院（LSE）访问学者点评人：陈坤 教授  华东政法大学商学院产业经济学导师组组长时  间：2020年12月4日（星期五） 上午10：00地  点：明法楼西D302主讲人简介：主要研究领域：创新与经济增长、量化政策评估、劳动经济学等。曾主持国家自然科学基金青年项目、上海市哲学社会科学项目、上海市科学技术委员会软科学项目等。参与中宣部、上海市人大、市政协课题项目。在《数量经济技术经济研究》、《统计研究》、《教育研究》、Statistical Mechanics and its Applications等国内外核心学术期刊发表论文20余篇。出版专著《分位数回归理论前沿及其应用》、译著《社会经济政策的计量经济学评估：理论与应用》。参与《上海经济发展报告》、《上海奉贤经济发展分析与预测》等的编写。 
4,5,华东政法大学,中国经济发展演进与“营商环境”构建,2020-12-04,主  题：中国经济发展演进与“营商环境”构建主讲人：吴璟桉 复旦大学经济学博士，现任上海社会科学院城市经济研究中心副主任和海上丝绸之路研究中心副主任，兼任上海海派城市经济发展规划研究院首席顾问点评人：陈坤 教授  华东政法大学商学院产业经济学导师组组长时  间：2020年12月9日（星期三） 15：00地  点： 明法楼西B103主讲人简介：    复旦大学经济学博士。先后曾任上海市发展改革委员会副处长、上海市信息中心经济预测中心主任等职。现任上海社会科学院城市经济研究中心副主任和海上丝绸之路研究中心副主任，兼任上海海派城市经济发展规划研究院首席顾问。主攻城市经济研究领域， 尤其是对营商环境领域有深入的理论和实践经验，曾经深度参与《优化营商环境条例》工作。此外，还曾参与上海市及相关省市政府多项重大战略决策研究工作，在科技创新、产业经济、区域发展等领域，参与研究制定了许多涉及优化营商环境、激发市场活力和社会创造力的战略举措和具体领域政策措施其研究《上海加快发展新技术、新产业、新模式、新业态的调研报告》、《上海国际航运发展综合试验区政策研究》、《上海临港产业区政策支撑体系研究创新体系》等研究成果，还获上海市政府和国家发改委颁发的省部级奖。著作《中国要素价格改革的逻辑》获国家发展改革委、中国价格学会颁发的“薛暮桥奖”。其中，还有十多项成果获省（市）委、省（市）政府主要领导批示和肯定。 
5,6,华东政法大学,刘晗：网络法研究中的架构与场景（12月9日） ——法律学院崇法讲坛第144讲,2020-11-30,主  题：网络法研究中的架构与场景主讲人：刘  晗 清华大学法学院副教授、博士生导师、院长助理，清华大学智能法治研究院副院长与谈人：吴 玄 上海师范大学法政学院副研究员，上海师范大学网络与数据法学研究所副所长韩旭至 华东政法大学数字法治研究院副院长、副研究员邱遥堃 华东政法大学互联网法治研究院师资博士后主持人：陈越峰 华东政法大学法律学院副院长、副教授时  间：2020年12月9日（周三）18：00地  点：松江校区明法楼东D104室主  办：华东政法大学法律学院主讲人简介：刘晗，清华大学法学院副教授、博士生导师、院长助理，清华大学智能法治研究院副院长。社会兼职包括最高人民法院研修学者、北京市人民政府行政复议委员会委员、科技部政法创新专家组成员、香港澳门基本法研究会副秘书长、中国人工智能产业发展联盟政策法规工作组副组长、中国法学会网络与信息法学会理事等。研究方向为宪法行政法和网络信息法，著有《合众为一：美国宪法的深层结构》（2018）和《想点大事：法律是种思维方式》（2020），在《中国法学》《美国比较法杂志》《国际宪法杂志》等期刊发表论文多篇。作为负责人承担国家重点研发项目子课题1项、国家社科基金重大项目子课题2项以及省部级课题6项。曾获北京市法学会“百名法学英才”称号，并获清华大学多项荣誉奖励。 
6,7,华东政法大学,刘纪鹏：研究习近平法治思想，创法商管理学派,2020-11-27,主  题：研究习近平法治思想，创法商管理学派主讲人：刘纪鹏 教授 中国政法大学商学院院长时  间：2020年11月27号（周五）下午16：00地  点：松江校区 综合事务楼西201主持人：高汉 教授 华东政法大学商学院院长主讲人简介：    刘纪鹏具有二级教授、高级研究员、高级经济师职称和注册会计师资格，目前任中国政法大学商学院院长；资本金融研究院院长、二级教授、博导；国家社科基金重大项目首席专家；国务院国资委法律顾问；中国上市公司协会独立董事委员会副主任；中国企业改革与发展研究会副会长。 刘纪鹏是著名股份制和公司问题专家，擅长大公司股份制、集团化和国际化理论与实践的结合，近二十年主持了国家电力公司、中国航空工业集团公司、中铝公司、海尔集团、南方电网公司等300 多家各类企业的股改上市、公司战略、并购重组及投融资方案设计，这些企业遍及二十多个省市和众多产业。被媒体称为“企业股改第一人”。 
7,8,华东政法大学,商学院学术沙龙第二十期,2020-11-25,主  题：国家自然科学基金申报经验分享主讲人：邵  帅 上海财经大学教授、博导主持人：贾彩彦 华东政法大学商学院教授、副院长时  间：2020年11月25日（星期三）下午13：15地  点：综合事务楼西201主讲人简介：邵帅，上海财经大学教授、博导，能源经济与环境政策研究中心执行主任，牛津大学访问学者，科睿唯安全球“高被引科学家”，国家优秀青年科学基金获得者，国家“万人计划”青年拔尖人才，教育部“新世纪优秀人才”，上海市“曙光学者”“上海社科新人”，主要研究领域为能源与环境经济学，在《Nature Geoscience》《Nature Sustainability》《Environmental & Resource Economics》《World Development》《Energy Journal》《Global Environmental Change》《Ecological Economics》《经济研究》《管理世界》等国内外学术期刊发表论文100余篇，10余篇论文入选ESI热点论文，20余篇论文入选ESI高被引论文；主持6项国家级科研项目（包括4项国家自然科学基金项目，其中1项绩效评估为“特优”）及10余项省部级科研项目；获得第八届高等学校科学研究优秀成果奖（人文社会科学）青年成果奖、刘诗白经济学奖、上海市哲学社会科学优秀成果一等奖等50余项学术和教学奖励；兼任《环境经济研究》副主编、《Asian Economics Letters》领域编辑（Subject Editor）及编委、《中国人口、资源与环境》学术编辑、《Resources，Conservation and Recycling》客座编辑、中国自然资源学会资源经济研究专业委员会副主任委员、中国“双法”研究会能源经济与管理研究分会副秘书长及常务理事、中南财经政法大学“文澜学者”讲座教授等学术职务。 
8,9,华东政法大学,田雷：八二宪法草案的形成过程——四十年后再回首（12月4日）,2020-11-24,主  题：八二宪法草案的形成过程——四十年后再回首主讲人：田  雷  华东师范大学法学院教授主持人：于  明  华东政法大学法律史研究中心教授时  间：2020年12月4日（周五）18: 30地  点：长宁校区交谊楼第四会议室主  办：全国外国法制史研究会、华东政法大学法律史研究中心 
9,10,华东政法大学,赵立行：“人文主义法学”的内涵及其阐释路径（11月24日）,2020-11-23,主  题：“人文主义法学”的内涵及其阐释路径主讲人：赵立行  复旦大学法学院教授主持人：于  明  华东政法大学法律史研究中心教授时  间：2020年11月24日（周二）18: 30地  点：长宁校区交谊楼第四会议室主  办：全国外国法制史研究会、华东政法大学法律史研究中心 
