,编号,主办单位,标题,公告日期,内容
0,1,东方律师,“图解并购系列”之二——“图解并购之并购中的规范研究方法”讲座通知,2021-01-14,"
“图解并购系列”之二——“图解并购之并购中的规范研究方法”讲座通知
日期：2021-01-14    阅读：334次
 多年来，随着我国并购重组法律业务的蓬勃发展，相应的并购方法论体系也处于不断探索、积累的过程之中。成熟的并购方法论体系的建立，对律师并购业务的发展至关重要。就并购方法论问题，上海律协并购重组业务研究委员会发起“图解并购系列”讲座活动。 
 本期围绕并购中的规范研究是并购业务的基本功。除了传统法律问题分析涉及的规范梳理，并购规范研究有其特殊之处，不同行业以及不同的目标公司，其涉及的规范体系总是不同的，从这个方面来看，并购业务中的规范研究，可视为行业研究的法律延伸。另一方面，并购规范研究的对象并非规范本身，而是需要与尽调结合，通过规范研究发现问题、提示风险、设计方案、解决问题，因此，其必须具备鲜明的涵摄导向。本次课程分享现开放线上直播通道，具体安排如下： 
 一． 活动时间：2021年1月22日（周五）14:30-16:30 
 二． 活动方式： 
 1、线下研讨会：宜山路425号光启城24层（限30人）； 
 2、线上研讨会：小鹅通直播间 
 三． 报名对象： 
 上海律协个人会员、特邀会员及预备会员 
 四． 研讨会内容 
 主持： 
 温从军    上海市律师协会并购重组业务研究委员会主任 
               上海市锦天城律师事务所 合伙人 
 主讲人： 
 邓学敏    上海市律师协会并购重组业务研究委员会委员 
               北京炜衡（上海）律师事务所合伙人律师 
 五． 参会方式 
 1.线上报名：点击下方链接或扫描二维码进入直播间： 
  
 https://appwrkpan874835.h5.xiaoeknow.com/v1/course/alive/l_5ffc1011e4b00ff4ed0fd6be?type=2&app_id=appwrkpan874835&available=true&share_user_id=u_5fd9cdfa178b2_dwSpWaZnz8&share_type=5&scene=%E5%88%86%E4%BA%AB&is_redirect=1 

   
 2.线下报名（限30人） 
 报名线下参与培训的会员，请点击下方“会员报名通道”进入报名，报满即止。 
 联络人：刘雯晴 上海律协并购重组业务研究委员会秘书 13816814799 
 报名成功人员，出席活动须出示健康码，未报名人员谢绝参加现场活动。 
   
  


分享到：
QQ空间
新浪微博
微信






			
			本次活动报名《“图解并购系列”之二——“图解并购之并购中的规范研究方法”讲座报名》对“ 上海律协个人会员,全部实习人员,特邀会员 ”开放。
活动状态：
				报名中    
					 
					
					
					报名数量限制：30个名额（还剩20个）
					
					

					活动报名时间：2021-01-14 10:00:00 至 2021-01-22 13:00:00（报满即止）



会员报名通道报名通道支持：律师会员、特邀会员、实习人员进行会议、活动的报名，本次报名具体开放范围以上方红色字体为准









"
1,2,东方律师,转发：第十五期芝加哥肯特法学院LL.M.海外课程培训项目报名的通知,2021-01-13,"
转发：第十五期芝加哥肯特法学院LL.M.海外课程培训项目报名的通知
作者：上海政法学院   日期：2021-01-13    阅读：339次
 具体详见： 
 http://www.shupl.edu.cn/gjjlc/2021/0113/c1986a86210/page.htm 


分享到：
QQ空间
新浪微博
微信




"
2,3,东方律师,“中国企业应对海外争议和合规风险”系列主题讲座（第二期）通知,2021-01-13,"
“中国企业应对海外争议和合规风险”系列主题讲座（第二期）通知
日期：2021-01-13    阅读：379次
 为帮助上海律师了解中国企业面临的境外争议解决和合规风险，提高本市律师帮助中国企业防范和处置上述风险能力，上海市律师协会一带一路业务研究委员会举办“中国企业应对海外争议和合规风险”系列主题讲座，通过线下培训和线上直播相结合的方式，为全市律师提供高质量的法律学习课程和经验交流平台。 
 本次系列讲座将分两期举办，本期主题为“中国企业应对美国货物和技术出口管制策略”。具体内容如下： 
 一、 会议主题：中国企业应对美国货物和技术出口管制策略 
 二、 会议时间：2021年1月22日（周五）下午14:00-16:00 
 三、 会议方式：线下培训、线上直播同步进行 
 四、 会议地点：上海律协报告厅（徐汇区肇嘉浜路789号均瑶国际广场35楼） 
 五、 报名人数：线下40人，线上80人（上海律协个人会员、特邀会员及预备会员） 
 六、 主讲嘉宾：  
 阮雨清，美国GT国际律师事务所上海办公室资深律师。阮律师从事私募股权与风险融资项目；阮律师执业领域包括跨地区并购交易，以及跨境技术转移。阮律师同时就客户的税务、外汇、知识产权以及外腐败合规等问题提供法律咨询。 
 七、  主讲内容： 
 1. 美国出口管制制度 
 - 法规依据 
 - 监管机构 
 - 管制措施 
 - 违规行为和法律后果 
 - 中美出口管制制度比较 
 2. 案例分析 
 - 制裁案例 
 - 处罚结果 
 3. 中国企业应对策略 
 - 建议措施 
 - 阻断办法 
 八、 报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 活动正式开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与讲座。 
 联系人：杨文哲，上海市律师协会一带一路业务研究委员会秘书 
 联系方式：13991915462（同微信号） 
 扫描二维码入群  
   
  


分享到：
QQ空间
新浪微博
微信




"
3,4,东方律师,转发：上海市第三届大学生法律案例分析大赛通知,2021-01-12,"
转发：上海市第三届大学生法律案例分析大赛通知
日期：2021-01-12    阅读：681次
  
 一、大赛目的 
 以“经改编的真实卷宗”为题，考察学生归纳案件事实，综合运用法学理论知识和法律条文对案件事实进行法律分析，得出法律结论的能力。发挥大赛第二课堂作用，引导学生关注社会，关注最新司法实践，提高学生的法学实践能力。以大赛为平台，加强产学合作和院校交流，共同提升上海法学教育整体质量。  
  
 二、赛事机构 
 （一）主管单位 
     上海市教育委员会 
 （二）顾问指导单位 
 上海市高级人民法院  上海市人民检察院  上海市司法局 
 （三）支持合作单位 
 上海交通大学  复旦大学  华东师范大学  同济大学  东华大学 
 华东理工大学  上海大学  上海财经大学  上海对外经贸大学 
 上海外国语大学 上海师范大学  上海海事大学 上海海海洋大学 
 上海政法学院 上海海关学院  上海立信会计金融学院  上海公安学院 
 上海商学院  上海外国语贤达经济人文学院  上海杉达学院 
 （四）主办单位 
 上海市律师协会  华东政法大学 
  
 三、参赛对象 
 仅限于上海各高校法学专业本科生。 
  
 四、赛制安排 
 （一）初赛 
 学生线上提交案例分析报告；主办方邀请有关专家组成评审组对学生提交的案例分析报告进行书面评审，给出初赛成绩，确定并公布晋级决赛的名单，预计2021年4月中下旬可查询初赛结果。 
 （二）决赛 
 决赛通过现场答辩的形式进行。晋级决赛的选手就其提交的案例分析报告做10-15分钟的阐述并回答专家提问，专家根据其综合表现给出决赛成绩。预计2021年5月中上旬举行决赛现场答辩，答辩结束3-5天后即可查询决赛成绩。 
 若因疫情等不可抗力影响经评估决定不举办决赛的，将加强初赛评审，视初赛成绩为最终成绩。 
 （四）颁奖 
 主办方根据晋级决赛的选手的初赛成绩（占60%的权重）和决赛成绩（占40%的权重）综合计算出最终成绩，评出并公布特等奖、一等奖、二等奖、三等奖、鼓励奖等若干名。预计2021年5月下旬举行颁奖仪式。 
 若因疫情等不可抗力影响决定不举办颁奖仪式的，将取消颁奖仪式。 
 大赛通知、比赛成绩、获奖等级等暂定通过以下网站或公众号查询： 
 东方律师网：http://www.lawyers.org.cn/通知公告处 
 华东政法大学官网：http://www.ecupl.edu.cn/校园通告处 
 微信公众号：上海律协、华政教务 
  
 五、参赛方式 
 （一）下载赛题（见附件1） 
 （二）撰写案例分析报告 
 学生以个人为单位撰写案例分析报告。 
 今年考察的是对民事案件的事实归纳及法律适用，要求参赛选手根据案件材料，整理要件事实、归纳案件争点、运用现行法律规定及有关法学理论知识，撰写一份以分析案件原被告权利义务为主要内容的分析报告，字数不限。参赛选手应对所提交的案例分析报告拥有合法的著作权，不得抄袭、剽窃他人的作品及观点。 
 案例分析报告由三部分组成：封面+评审记录表+正文（见附件2）案例分析报告标题及正文格式要求： 
 1.一级标题黑体，小三号；二级标题黑体，四号； 
 2.一、二级标题与内容之间空一行，三级标题与内容之间不空行；  
 3.正文采用宋体，小四号，行距固定值22磅；英文或数字采用Times New Roman； 
 4.正文首行缩进2字符，无其他前后缩进；段前段后间距均为0.5行。 
 （三）提交案例分析报告 
 以学校为单位统一提交参赛作品,各支持合作单位计划指标如下: 
 α≤100,提交的作品数量原则上不超过25篇; 
 100＜α≤300,提交的作品数量原则上不超过45篇; 
 300＜α≤500,提交的作品数量原则上不超过80篇; 
 500＜α≤1500,提交的作品数量原则上不超过185篇. 
 (注:α为每届法学专业在校本科生数) 
 截止时间：2021年3月10日 
 接收要求：压缩文件,内含参赛的word版本的案例分析报告 
 接收邮箱：anlifenxidasai001@163.com 
 邮件标题：上海市第三届大学生法律案例分析大赛+×××学校+×××篇 
  
 六、奖项设置 
 特等奖：若干名，奖金：   2000元      
 一等奖：若干名，奖金：   1500元      
 二等奖：若干名，奖金：   1000元      
 三等奖：若干名，奖金：   500元       
 鼓励奖：若干名，奖金：   200元       
 优秀组织指导奖：若干名，奖金：   1000元       
  
 大赛联系人：华东政法大学教学实践科科长杜东东 
 联系电话：021-57090313、13636332561。 
  
 七、附件 
 附件1：赛题 
 附件2：案例分析报告样式 
  
 上海市律师协会 
 华东政法大学 
 2020年1月8日 
*附件列表(点击下载)"
4,5,东方律师,医药健康法律实务周末讲坛–“医药医疗信用评价与黑名单制度对合规的影...,2021-01-08,"
医药健康法律实务周末讲坛–“医药医疗信用评价与黑名单制度对合规的影响”讲座通知
日期：2021-01-08    阅读：1,144次
 为配合《中华人民共和国民法典》《中华人民共和国基本医疗卫生与健康促进法》等医药健康领域新法的宣讲，上海律协医药健康业务研究委员会将逐步推出系列课程，围绕医药健康领域的热点、难点法律问题，由医药健康领域资深专家开展线上讲座，进行重点解读分析。  
 本次讲坛，上海律协医药健康业务研究委员会将以“医药医疗信用评价与黑名单制度对合规的影响”为主题，由德恒上海律师事务所合伙人刘晓义律师担任主讲人。具体安排如下： 
 一、时间：2021年1月15日（星期五）20:00 
 二、方式：腾讯会议线上会议 
 三、报名人数：200人（上海律协个人会员、特邀会员及预备会员） 
 四、内容及主讲人介绍： 
 主题：医药医疗信用评价与黑名单制度对合规的影响 
 主讲人：刘晓义，德恒上海律师事务所合伙人，毕业于中国政法大学、复旦大学，曾任强生（上海）医疗器材有限公司法规政策负责人及某美国律师事务所生命科学业务组中国法律顾问。刘晓义律师的主要业务领域为医药、医疗行业的政府监管与合规，在以上领域有十多年工作经验。 
 五、报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 讲座正式开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与讲座。 
 联系人：赵丹蕾，上海律协医药健康业务研究委员会秘书。微信号：zld886jing。 
   
   
   
  


分享到：
QQ空间
新浪微博
微信




"
5,6,东方律师,“中国企业应对海外争议和合规风险”系列主题讲座通知,2021-01-06,"
“中国企业应对海外争议和合规风险”系列主题讲座通知
日期：2021-01-06    阅读：1,719次
 为帮助上海律师了解中国企业面临的境外争议解决和合规风险，提高上海律师帮助中国企业防范和处置上述风险能力，上海市律师协会一带一路业务研究委员会举办“中国企业应对海外争议和合规风险”系列主题讲座，通过线下培训和线上直播相结合的方式，为全市律师提供高质量的法律学习课程和经验交流平台。  
 本次系列讲座将分两期举办。第一期主题为“海外争议解决中的应诉和证据策略”。具体内容如下： 
 一、 会议主题：海外争议解决中的应诉和证据策略 
 二、 会议时间：2021年1月15日（周五）下午14:00-16:00 
 三、 会议方式：线下培训、线上直播同步进行 
 四、 会议地点：上海市肇嘉浜路789号均瑶广场35楼报告厅 
 五、 报名人数：线下40人，线上80人（上海律协个人会员、特邀会员及预备会员） 
 六、 主讲嘉宾：  
 漆俊，美国GT国际律师事务所上海办公室管理合伙人，主要专注于与中国有关的跨境并购、外商直接投资和综合公司事务，并且在就美国公司与他国公司的内部FCPA审查及其他合规事项的法律意见提供方面，具有丰富的经验。 
 张丹，美国GT国际律师事务所上海办公室管理合伙人，在为客户提供与中国有关的跨境并购、重组、合资、基金和综合公司业务方面拥有丰富经验。在加入GT前，张丹律师在其他国际律师事务所工作多年，并在一家跨国公司担任中国法律顾问，为上市公司和新兴成长企业处理了大量的公司法律事务。张丹律师于1998年通过了中国国家司法资格考试，并拥有纽约律师执照。 
 七、  主讲内容： 
 1. 中美跨境诉讼 
 - 美国常见诉讼类型、法院系统、诉讼程序介绍 
 - 中美关系对中国企业在美诉讼的影响 
 - 企业如何避免在美国诉讼 
 - 简要介绍国际仲裁 
 2. 美国诉讼中的证据开示 
 - 中、美举证规则的对比 
 - 美国诉讼中证据开示的特点、种类、范围 
 - 美国诉讼中证据开示中的特权保护 
 - 美国诉讼中证据开示是否符合中国法律 
 3. 对中国涉诉企业的应对建议 
 八、 报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 活动正式开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与讲座。 
 联系人：杨文哲，上海市律师协会一带一路业务研究委员会秘书（微信号：13991915462） 
 扫描二维码入群 
   
  


分享到：
QQ空间
新浪微博
微信




"
6,7,东方律师,“预重整引导人制度的实践与思考”主题分享会通知,2021-01-06,"
“预重整引导人制度的实践与思考”主题分享会通知
日期：2021-01-06    阅读：1,369次
 2020年12月25日，上市公司中南文化第一次债权人会议暨出资人会议在江苏省无锡市中级人民法院大法庭顺利召开，会议高票通过了重整计划。该案自法院裁定受理重整至通过重整计划，仅用了31天，是国内首例预重整引导人制度的实践案例，也是国内审理时间最短、审理速度最快的上市公司重整案件，极大地推动了我国预重整制度的司法实践，也为多元纠纷化解机制在市场化破产领域中的运用塑造了成功样本。  
 在此背景下，上海市律师协会破产与不良资产业务研究委员会邀请中南文化预重整一案的主审法官、江苏省无锡市中级人民法院金融庭庭长陆晓燕法官为业内人士做本次分享。 
 本次分享会立足现实、关注焦点、传播经验，以期充分发挥预重整引导人制度在破产实践中的重要作用。具体安排如下： 
 一、会议时间：2021年1月9日（周六）下午13:30-16:20 
 二、参会方式： 
 1、线下地点：上海市浦东新区陆家嘴环路958号华能联合大厦33楼上海市协力律师事务所会议中心（限30人） 
 2、线上会议：腾讯会议系统（限200人） 
 三、报名人数：230人（上海律协个人会员、特邀会员及预备会员） 
 四、议程安排： 
 （一）嘉宾签到（13:30-14:00） 
 （二）开场致辞（14:00-14:10） 
 王炜，上海律协破产与不良资产业务研究委员会委员，上海市协力律师事务所合伙人 
 李成浩，上海律协破产与不良资产业务研究委员会副主任，上海市君悦律师事务所合伙人 
 （三）分享主题：预重整引导人制度的实践与思考（14:10-15:40） 
 分享嘉宾：陆晓燕，江苏省无锡市中级人民法院金融庭庭长 
 （四）交流讨论（15:40-16:00） 
 主持人：蒋菡，上海市协力律师事务所律师 
 （五）闭幕致辞（16:00~16:10） 
 李凯，上海律协破产与不良资产业务研究委员会主任，上海市方达律师事务所合伙人 
 六、报名方式 
 （一）线上报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 研讨会正式开始前，微信群会发布参加研讨会的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可通过线上方式参加研讨会。 
   
 联系人：江子昂，上海律协破产与不良资产业务研究委员会秘书 
 微信号：rickjiangziang 
 （二）线下报名方式（限30人） 
 报名线下参会的会员，请点击下方“会员报名通道”进入报名，报满即止。 
  


分享到：
QQ空间
新浪微博
微信






			
			本次活动报名《“预重整引导人制度的实践与思考”主题分享会报名》对“ 上海律协个人会员,全部实习人员,特邀会员 ”开放。
活动状态：
				活动结束    
					 
					
					
					
					

					活动报名时间：2021-01-06 16:50:00 至 2021-01-09 13:00:00（报满即止）



会员报名通道报名通道支持：律师会员、特邀会员、实习人员进行会议、活动的报名，本次报名具体开放范围以上方红色字体为准

活动已结束





"
7,8,东方律师,“以知识产权作为融资租赁物主体”专题沙龙通知,2020-12-24,"
“以知识产权作为融资租赁物主体”专题沙龙通知
日期：2020-12-24    阅读：1,021次
 为帮助厘清知识产权作为融资租赁标的物融资租赁行业的理论基础、监管障碍，加深企业与律师对融资租赁行业的理解，上海律协融资租赁业务研究委员会联合上海市租赁行业协会法律专业委员会、华东政法大学融资租赁研究中心举办“以知识产权作为融资租赁物主体“专题沙龙。 
 具体安排如下： 
 一、时间：2020年12月24日（周四）下午14:30-17:00 
 二、方式：腾讯会议线上会议 
 三、报名人数：100人（上海律协个人会员、特邀会员及预备会员） 
 四、议程安排： 
 主持人：孙瑜，上海律协融资租赁业务研究委员会主任、上海市段和段律师事务所合伙人 
 议程： 
 1.14:30-14:40开场致辞 
 孙瑜，上海律协融资租赁业务研究委员会主任、上海市段和段律师事务所合伙人 
 2.14:45-15:15 议题一——知识产权作为融资租赁物主体的理论基础 
 主讲嘉宾：徐同远博士  华东政法大学法律学院讲师、法学博士 
 3.15:25-15:55议题二——知识产权作为融资租赁物主体的价值评估问题 
 主讲嘉宾：林旭  上海市金茂律师事务所律师 
 4.16:05-15:35议题三——知识产权作为融资租赁物主体的登记和公示效力问题探讨 
 主讲嘉宾：李莹薇  上海融孚律师事务所合伙人 
 5.16:35-17:00提问环节 
 主持人及场外连线提问 
 五、报名方式： 
   扫描下方二维码成功入群即为报名成功。 
   
 开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与沙龙。 
   联络人： 
   上海律协融资租赁业务研究委员会秘书  施谛夫 微信号：steve198952 
   上海律协融资租赁业务研究委员会干事  刘  璟  微信号：liujing9499 
  上海律协融资租赁业务研究委员会干事   李  芳  微信号：cathy41773782 
   
   
  


分享到：
QQ空间
新浪微博
微信




"
8,9,东方律师,首届长三角建设领域热点法律问题研讨会通知,2020-12-22,"
首届长三角建设领域热点法律问题研讨会通知
日期：2020-12-22    阅读：1,450次
 长三角一体化徐徐拉开大幕,长三角既是国内建筑企业主力军大本营，又是我国建设与基础设施主要市场之一。遏制金融风险、房住不炒、新旧动能转化、内循环等深刻影响着建设行业，新政策、新模式、新问题层出不穷，需要积极地应对。 
 为此，“首届长三角建设领域热点法律问题研讨会”由上海律协建设工程与基础设施业务研究委员会主办，浙江律协建设工程专业委员会和江苏律协建筑工程与房地产法律业务委员会协助举办，讨论建设领域热点法律问题、覆盖12个细分领域，旨在切实探讨新业务难问题、有效提升建设法务水平。 
 一、会议时间：2020年12月25日（周五）9:00-12:00、13:30-17:30 
 二、会议形式：小鹅通线上直播 
 三、参与对象：上海律协个人会员、特邀会员及预备会员 
 四、会议议题： 
 开场致词：上海律协及上海施工行业协会领导 
 主持人：汪金敏，上海律协建设工程与基础设施业务研究委员会主任 
 第一板块：新法律新规定 
 主持人：王凌俊，上海律协建设工程与基础设施业务研究委员会副主任 
 （1） 民法典建设工程疑难问题， 
 主讲人：曹文衔，北京天同（南京）律师事务所合伙人 
 （2） 招标投标法修订涉热点问题， 
 主讲人：裘红伟，浙江律协建设工程专业委员会副主任 
 第二板块：难问题新解答 
 主持人：王凌俊，上海律协建设工程与基础设施业务研究委员会副主任 
 （3） 建设工程优先受偿权问题思考， 
 主讲人：魏东，江苏律协建筑工程与房地产业务委员会副主任 
 （4） 视为认可案件代理体会， 
 主讲人：曹珊，上海律协建设工程与基础设施业务研究委员会委员，上海市建纬律师事务所合伙人 
 （5） 工程造价鉴定代理体会， 
 主讲人：王先伟，上海律协建设工程与基础设施业务研究委员会委员，上海科汇律师事务所合伙人 
 （6） 工程还款担保风险探讨， 
 主讲人：李淑君，江苏律协建筑工程与房地产业务委员会副主任 
 第三板块：新业务新机会 
 主持人:张刚，上海律协建设工程与基础设施业务研究委员会副主任 
 （7） 当前建设领域纠纷特点及对律师提出的要求， 
 主讲人：周吉高，全国律协建设委建设工程与房地产专业委员会副主任 
 （8） EPC项目法律服务探讨， 
 主讲人：韩如波，总承包管理办法起草组主要成员 
 （9） PPP工程结算难点探讨， 
 主讲人：崔德高，中核华纬工程设计研究有限公司副总师、云南省能源投资集团PPP首席专家、浙江省发改委专家库成员 
 （10） 过程结算谈判服务体会， 
 主讲人：汪金敏，上海律协建设工程与基础设施业务研究委员会主任 
 第四板块：新问题新思考 
 主持人:张刚，上海律协建设工程与基础设施业务研究委员会副主任 
 （11） 承包人破产时实际施工人保护问题， 
 主讲人：李乐敏，浙江律协建设工程专业委员会主任 
 （12） 追讨破产案件工程款体会， 
 主讲人：杨振裕，上海市诚建成律师事务所合伙人 
 圆桌沙龙：2021年长三角建设律师的机遇与挑战 
     主持人: 鲁宏，上海律协建设工程与基础设施业务研究委员会副主任 
 嘉  宾：周吉高、李乐敏、魏  东、汪金敏、韩如波 
 五、报名方式： 
 统一报名请扫描如下微信群参加线上直播： 
         
 联系人：上海律协建设工程与基础设施业务研究委员会秘书 李节 手机号码（微信号）：13262652305 
   
  


分享到：
QQ空间
新浪微博
微信




"
9,10,东方律师,“国际经贸合同仲裁的法律适用问题”讲座通知,2020-12-22,"
“国际经贸合同仲裁的法律适用问题”讲座通知
日期：2020-12-22    阅读：1,584次
 上海律协国际贸易业务研究委员会举办“国贸讲坛”系列活动，  
 本月“国贸讲坛”邀请到陈力教授作“国际经贸合同仲裁的法律适用问题”专题讲座。 
 具体安排如下： 
 一、时间：2020年12月28日（星期一）上午10:00 
 二、方式：腾讯会议线上会议 
 三、报名人数：250人（本市律协个人会员、特邀会员及预备会员） 
 四、内容及主讲人介绍： 
 主题：国际经贸合同仲裁的法律适用问题 
 主讲人：陈力，复旦大学法学院副院长、国际法学教授、博士生导师。曾主持国家与省部级项目多项，在上述领域发表专著三部、国内外核心期刊发表论文五十篇。兼任中国国际私法学会常务理事、上海市法学会国际法研究会副会长、中国法学会审判理论研究会海峡两岸审判理论专业委员会委员、上海国际经济贸易仲裁委员会、上海仲裁委员会仲裁员等职务。 
 主持人：邱梦赟，上海市锦天城律师事务所合伙人、上海律协国际贸易业务研究委员会委员 
 五、报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 讲座正式开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与讲座。 
 联系人：童骏，上海律协国际贸易业务研究委员会秘书。 
 微信号：TheJokerKing1990，电话：18516176204。 
   
   


分享到：
QQ空间
新浪微博
微信




"
