,编号,主办单位,标题,公告日期,内容
0,1,上海政法学院,“立格联盟首届研究生法商学术论坛论文大赛”闭幕式暨颁奖典礼举行,2021-01-11,1月8日，“立格联盟首届研究生法商学术论坛论文大赛”闭幕式暨颁奖典礼在明文苑通过线下线上相结合的方式举办。吉林大学校务委员会副主任、东北振兴发展研究院院长邴正，立格联盟商学院联席会秘书长黄胜忠，《海派经济学》编辑部主任刘晓音，华东政法大学商学院院长高汉，我校研究生处处长赵俊、经济管理学院院长刘志强、经济管理学院党总支书记周毅、科研处挂职副处长潘汇丰出席会议。会议由立格联盟商学院联席会理事会主办，我校经济管理学院承办，研究生处协办，经济管理学院王冰冰主持会议。本次会议由闭幕式、名家讲坛、小组汇报、颁奖典礼四个部分组成。闭幕式上，赵俊、黄胜忠分别致辞。致辞中，赵俊代表上海政法学院对本次闭幕式的召开表示热烈祝贺，她表示推动法商融合的联合创新，培养新时代的法商结合型人才，切实回应新文科建设背景下法商融合学科建设的疑难问题，是政法类院校商学院的共同使命和责任。此次论文大赛关注法商前沿，紧扣时代脉络，秉承研究生教育前瞻引领创新的初心，是研究生教育教学又一次重要探索，为广大青年学者和研究生搭建了全面学习和交流的平台。通过本次大赛的相互切磋，彼此交流，相互学习，希望各位学子更加关注当前国际经济关系及商务合作发展的新趋势，增强关注社会现实和投身实践的意识，提高探求实践真知和法律本质的能力，训练以理论研究为依据，质性研究为补充的科学思维方法。黄胜忠在致辞中向此次大赛各位老师的辛勤付出表示感谢。黄胜忠表示，法商融合是新文科建设的大势所趋，是学科交叉融合的有力抓手。在法商融合的学术研究方面，要坚持问题导向，“小题大做”，注重规范，力求创新，这是多年实践总结得到的经验。黄胜忠强调，要有意识地将经济社会环境中与法治有关的内容，进行鲜明的刻画，把法商融合的思维落到实处，将合规遵从、法律法规风险管理等纳入思考，综合考虑外部法律规制与内部章程和道德要求，考虑合规、法律风险等成本和收益带来的影响。只要将环境分析、主体及其行为假设，制度安排、均衡讨论、绩效评价五大方面有机结合，注重效率和公平问题的融合，法商研究就有着力点、切入点、创新点。在名家讲坛环节，邴正作题为《百年未有之大变局与社会治理模式探索》的精彩报告。邴正从“百年未有之大变局的提出”出发，指出中国特色社会主义进入新时代与全球化、信息化，推动了百年未有之大变局，而后引用丰富的历史、实事案例，围绕百年未有之大变局、新冠疫情应对的模式比较、社会治理模式新探索三个方面展开阐述，语言幽默易懂，内容平实近人、旁征博引、深入浅出，引起了全场师生的强烈共鸣。邴正表示，世界多极化、经济全球化、社会信息化、文化多样化深入发展，全球治理体系和国际秩序变革加速推进，各国相互联系和依存日益加深，国际力量对比更趋平衡，和平发展大势不可逆转。同时，世界面临的不稳定性不确定性突出，世界经济增长动能不足，贫富分化日益严重，地区热点问题此起彼伏，恐怖主义、网络安全、重大传染性疾病、气候变化等非传统安全威胁持续蔓延，人类面临许多共同挑战。邴正强调中美关系是全球化、信息化背景下中国国际关系的聚焦点。中美矛盾的实质是崛起大国与守成大国之间的矛盾。根据中国防疫成果，邴正认为社会治理模式新探索具有重要价值，主要分为探索强政府大社会模式、探索有序化宏观社会与多元化微观社会综合协调治理模式、探索活力型推进经济社会发展模式与突发性危机治理模式三大方面。在全球化信息化时代，文化与社会制度及社会发展模式不是唯一的，要增强文化自信与制度自信，合理的选择是各美其美，美人之美，美美与共，天下大同。刘志强作了总结，他表示培养哲学思维、融入社会环境、关注时事政治对经济学术研究有重要帮助，希望同学们满怀家国情怀，用战略眼光关注所在地区的发展和国家战略发展。在论文小组汇报环节，山东政法学院研究生胡恬、中国政法大学研究生顾敏、华东政法大学研究生周健军、上海政法学院研究生崔正琦，分别围绕《产业政策急需加强公平竞争审查——以S省为例》《“一带一路”倡议与我国沿线省份物流业高质量发展——基于双重差分模型的实证》《智能化投资的就业效应研究——基于三次产业视角》《区域全面经济伙伴关系贸易投资便利化问题研究》进行汇报。刘晓音对以上学生汇报作了点评，她认为胡恬同学就反垄断和地区产业的研究，对于长三角一体化、中国特色社会主义市场经济建设、如何增强公平竞争具有现实意义；顾敏同学以“一带一路”为背景，对沿线省份物流和相关产业上下游进行分析，对于物流如何促进本地区经济发展有重要价值；周健军同学以人口老龄化的现实问题为切入点，围绕工业智能化进行研究分析，文章结构完整，内容详实；崔正琦同学选取的贸易便利化是经济类研究中的热点问题，文章构建了详尽的综合评价指标，思路完整清晰。刘晓音对此次大赛获奖同学表示祝贺，希望广大学子能不断学习，继续积极参与法商融合领域的研究。在颁奖典礼环节，高汉作总结发言。他表示此次活动将政法类大学的商学院老师和同学紧密的结合在一起，搭建了各学校未来发展的共享平台，彼此促进，彼此学习，共同培养回应时代的复合型人才。最后，周毅宣布颁奖名单。至此，“立格联盟首届研究生法商学术论坛论文大赛”闭幕式暨颁奖典礼圆满落幕。（陈宇娇撰稿 田泽宁摄影）经济管理学院2021年1月11日
1,2,上海政法学院,祁志祥教授受邀为上海戏剧学院师生作“中国古代戏曲美学批评的历史观照”学术讲座,2021-01-07,1月6日下午，上海市美学学会会长、上海政法学院文艺美学研究中心主任祁志祥教授受邀赴上海戏剧学院作题为“中国古代戏曲美学批评的历史观照”学术讲座。讲座由上海戏剧学院戏文系主任陈军教授主持，约50多位硕、博士生和部分教师聆听了讲座。作为“乐感美学”学说的创始人，祁志祥教授首先为同学们甄别了“美学”是研究美和艺术的哲学的学科定义，分享了“美是有价值的乐感对象”这一核心观点，并为在座的同学们作出独到的阐释。祁志祥认为，“价值”和“愉悦”是衡量美的两个重要维度。艺术作为人造的有价值的乐感对象的载体也是如此，艺术作品的愉悦中需带有理性的价值成分。作为独立撰写三卷本《中国美学通史》和五卷本《中国美学全史》的作者，祁志祥回顾了中国历代美学的演变历程，指出在中国的古代美学中，“儒”“道”“佛”“玄”等哲学美学线索和诗、文、书、画、诗歌、词曲、小说、音乐、园林文艺美学齐头并进，处处洋溢着美学的光辉，共同呈现出广阔而灿烂的图景。因而在中国美学史的研究过程中，研究者不仅需要对各种门类的哲学美学和艺术理论有广博的了解和积累，而且需要对每一个时代的美学特征都能有准确的衡量与把控，这样才能写出多声部复调式的中国美学史全景图。而《中国古代戏曲美学批评的历史观照》就是《中国美学通史》中的一条线。谈及中国古代的戏曲理论与批评问题，祁志祥指出二者的关联：“中国古代的戏曲理论主要是通过戏曲批评呈现的，戏曲批评是伴随着戏曲创作的繁荣而产生。”祁志祥将中国古代的戏曲批评史划分为“萌芽”“奠基”“发展”“综合”四个阶段——戏曲批评萌芽于隋、唐、宋，元代为奠基期，明代迎来了戏曲批评的多彩与繁荣，出现了“唯情派”“本色派”“折中派”三个各具特色的派别和论争，共同探讨戏曲创作的特殊审美规律，推动了戏曲理论的发展。清代曲论以李渔的《闲情偶寄·词曲部》、金圣叹的《西厢记》评点为标志，在继承明代成果的基础上不断接近更为核心的美学问题，走向戏曲美学批评的综合与高峰时期。在师生互动环节，祁志祥与同学们围绕着中国古代的乐论和舞论、西方现代艺术“以丑为美”、叶朗先生的“美在意象”怎么看等问题展开了深入的对话与交流，并为同学们作出了详细的解答。聆听完讲座，同学们都感到收获颇丰，意犹未尽，并为祁教授深厚的学术功力、对学术的沉迷以及激情睿智的演讲风格深深打动。（注:报道原文引自上海戏剧学院官网报道）中国-上合基地办公室2021年1月6日
2,3,上海政法学院,关保英教授获上海市社会科学界第十八届学术年会优秀论文奖,2020-12-21,近日，由上海市社会科学界联合会发起创办的上海市社会科学界学术年会论文征集评选工作圆满结束。本届学术年会主题为“后小康社会中国发展：新理念新规划新征程”。年会充分发挥大型学术论坛参与面广、研究方向多样、学术水平高等特点和优势，对活跃学术氛围，交流思想文化，推动理论创新具有良好的作用。我校关保英教授撰写的论文《行政体制改革中的法律先行问题研究》被评为优秀论文。文章认为，我国治理体系和治理能力现代化的顶层设计离不开行政体制改革，而行政体制改革需要依靠法律先行来完成。文章从改革主体的公法资格、改革内容的公法范畴、改革过程的公法主导和改革后果的公法效力四个方面，全面地分析了行政体制改革的法律属性，并精准提出了传统因素、文化因素、政策因素和利益因素是导致行政体制改革中法律阻滞的原因。文章指出，针对这些行政体制改革中存在的问题，应当从法律废止入手，对行政体制中的恶法、低位阶法典、规范性文件和相关政策予以审视和废止。最后，文章通过行政实在法对新的行政体制进行了新的设计，涉及到依法设计行政组织、编制规则、行政职能、主体资格和执法方式等内容。上海市社会科学界第十八届（2020）学术年会得到了本市各高校、研究机构和广大专家学者的积极响应。据悉，今年共计收到应征论文519篇，经专家评审，最终遴选出43篇优秀论文。科研处2020年12月21日
3,4,上海政法学院,佘山法商讲坛 | 著名经济学家宋冬林教授应邀来我校作学术讲座,2020-12-09,12月8日下午，我校佘山法商讲坛第六讲在上合基地通过线下线上相结合的方式举行。著名经济学家、教育部“跨世纪优秀人才”宋冬林教授应邀来我校，为师生作题为“新文科背景下经济学法学人才培养：变化与改变”的主题报告。本次论坛由经济管理学院主办，研究生处协办，经济管理学院王冰冰老师主持。宋冬林教授是教育部高等教育经济学和工商管理学科专业教学指导委员会委员，享受国务院政府特殊津贴，原长春税务学院院长、吉林财经大学校长，现为吉林省政协委员、吉林大学中国特色社会主义政治经济学中心主任。讲座中，宋冬林对11月3日召开的教育部新文科建设工作会上发布的《新文科建设宣言》进行了深度解析，从新文科之“新”解、经济学类人才培养的变化与改变、对吉林省高校新文科建设的思考三个方面做了精彩的主旨报告。宋冬林在报告中指出，新文科有着鲜明的价值取向和社会属性。新文科的建设体现了中国特色社会主义制度的特殊性内在要求，以实现中华民族伟大复兴和建设社会主义现代化强国为使命，以培养社会主义事业建设者和接班人为己任。习近平总书记在十九届中共中央政治局第二次集体学习中提出，“构建以数据为关键要素的数字经济。推动实体经济和数字经济融合发展，推动互联网、大数据、人工智能同实体经济深度融合”。宋冬林就此向在座的师生分享了自己的见解。他强调，数字技术与数字经济在生产、交换、消费、分配环节，已经对人类社会经济活动产生了深刻影响。具体而言，他认为数据将作为生产要素参与价值形成和分配，人工智能将引发传统生产过程和生产方式的变化，线上平台引发传统交易模式的改变，个性化定制和无接触消费引起人们消费行为和消费方式的变化，区块链技术、数字金融通过普惠式工具影响治理体系和分配机制，从而引起分配关系的变化。面对百年未有之大变局，经济学类人才培养又该做出怎样的改变？宋冬林表示，经济学类人才培养将改变以专业为导向的、单独以专业或行政单位构建学术研究平台的传统科研范式，将改变照本宣科死记硬背的传统认知方式、将改变基于已经过时的原有知识体系且严重脱离实际的教科书体系等传统教育教学范式，未来需要更多关注数字技术与数字经济发展，强化人文社会科学与自然、科技、工程领域的双向渗透的融合。最后，宋冬林建议各高校将新文科建设落实到学科专业“十四五”规划中，并在实践中积淀、迭代与演进。在提问互动环节，经管学院师生从数字网络结构和知识网络结构的差异、数字经济对社会产生的影响等多个方面同宋冬林教授进行了具体深入的交流和探讨。宋教授进行了一一解答，对于解决老师和同学们在学术研究、学科交叉及实践应用方面的问题，具有重要的指导与借鉴价值。经济管理学院院长刘志强教授作了总结，他表示，新文科建设对教师和学生都具有重要意义，希望同学们能明确自己的未来发展方向，成长为适应新时代要求的应用型复合型人才。（陈宇娇撰稿 粟晓雨、孙倪嫚摄影）经济管理学院2020年12月9日
4,5,上海政法学院,佘山法商讲坛 | 《经济学家》原编辑部主任蒋南平教授应邀来我校作学术讲座,2020-12-07,12月4日下午，我校佘山法商讲坛第五讲通过线下线上相结合的方式举行。《经济学家》原编辑部主任、全国高等财经院校《资本论》研究会副会长、西南财经大学博士生导师蒋南平教授应邀来我校，为师生作了题为“贯彻党的十九届五中全会精神 促进中国数字经济发展”的学术报告。本次论坛由经济管理学院主办，研究生处协办，经济管理学院王冰冰老师主持。蒋南平以习近平总书记提出的“以国内大循环为主体、国内国际双循环相互促进的新发展格局”为切入点，深入分析了新冠疫情对国内外经济的影响、美国大选以及逆全球化暗流涌动等热点问题，而后从数字经济的基础理论部分，并结合数字经济在各个产业上的实践应用，向大家分享了他的主张与见解。蒋南平认为，“十九届五中全会吹响了数字经济的号角。”国内外复杂严峻的形势，对中国数字经济的发展提出了更高要求。中国拥有制度优势、党的领导、人民团结的良好基础，因此我们也具有弯道超车的使命。我们应该坚持以创新、协调、开放、绿色、共享的新发展理念为引领，促进经济高质量发展，形成新型经济发展，这对我们国家找到新发展动能也提出了要求。蒋南平指出，数字经济是新经济的主要表现形式，是高质量发展的经济表现，按照马克思主义经济学，数字本身不创造价值，其实质是通过数字化的途径将三大产业的生产流通环节高效协调地耦合起来，从而产生过去前所未有的生产力。对于新业态，蒋南平就“数字产业化”与“产业数字化”展开深入分析。他认为数字产业化是指加工创新处理数据信息，形成数字化的产业，而产业数字化是指把数字化引入产业的过程。两者有实质的区别，但对于数字化与传统产业的融合都具有重要意义。只有当原始的讯息转化为数据时，才能产生增值，形成平台经济、共享经济等。从资源角度来看，数据是当代社会最基本的生产要素。蒋南平强调，“数据对当代社会发展极为重要”，数据是数字经济发展的关键要素，不仅在于它是人工智能等高新技术的实质内涵，更重要的是它带来的一系列社会经济化效应。在提问互动环节，同学们针对本次讲座的主题同蒋南平教授进行了深入的交流和探讨。蒋南平最后寄语广大经管学子——数字化时代以开源的逻辑授人以渔。他鼓励同学们抓住源代码的开源机会，深入挖掘新的商业方法和模式，希望同学们能勇于创新，敢于实践，积极探索开源数字化之路。经济管理学院院长刘志强作了总结，他认为中国数字经济的发展并不是呆板地遵循西方经济学理论，而是具有独特的内在逻辑。刘志强强调，新经济的发展具有重要战略意义，并对广大学子给予殷切期望，鼓励同学们积极投身中国数字经济的实践。（陈宇娇 撰稿）经济管理学院2020年12月7日
5,6,上海政法学院,复旦大学美国研究中心韦宗友教授来我校开展学术讲座,2020-12-04,12月3日上午，复旦大学美国研究中心韦宗友教授应邀至我校开展题为“美国大选与中美关系”学术讲座，政府管理学院院长汪伟民教授主持讲座。讲座由政府管理学院国际政治教研室主办，数十名师生共同参与。韦宗友首先从选举人票分布、摇摆州选情、两党在参众两院席位占比、选民特征与政治倾向等因素对美国大选结果进行详细分析。他认为，疫情冲击、经济下行、种族矛盾、政治极化、投票方式变化等问题都是特朗普连任失败的重要原因。其次，在对华政策上，拜登政府将中国视为美国经济和科技竞争对手而不是军事威胁和生存挑战，并将与中国进行有条件的接触和有管控的竞争。本次讲座内容丰富，紧跟热点。在互动环节，在座师生兴致盎然，就美国战略选择与对外政策等问题进行了提问。此次讲座拓宽了师生的学术视野，活跃了思维，为理解美国国情与中美关系发展趋势提供了新的视角。政府管理学院2020年12月3日
6,7,上海政法学院,名家讲坛 | 中国政法大学商学院院长刘纪鹏教授作“研究习近平法治思想，创建法商管理学派”学术报告,2020-12-02,11月27日下午，由科研处、经济管理学院主办的“名家讲坛”第六十讲在上合基地举办。本次讲坛邀请了中国政法大学商学院院长、资本金融研究院院长刘纪鹏教授为主讲嘉宾，为我校师生作题为“研究习近平法治思想，创建法商管理学派”的精彩演讲。讲坛由我校经济管理学院王冰冰老师主持，经济管理学院院长刘志强教授陪同参加与谈。本次讲座采用线上线下相结合的形式同时进行，现场共有70余位师生代表积极参与。作为享誉国内外的专家学者，刘纪鹏长年致力于股份制和公司问题研究，其研究成果受到广泛瞩目。在本次讲坛上，刘纪鹏从时政出发，引用习近平总书记关于法治思想的重要论述和讲话精神，探讨了习近平法治思想对创建法商管理学派的重大意义和启示，把理论与实践相结合，论述了法商管理在法商融合中的创新应用，并与大家分享了他对法商管理学和资本金融学的研究，鼓励大家成为既懂管理、又懂法律的法商管理人才。讲座一开场，刘纪鹏就表示作讲座过程中，他最喜欢的就是与观众交流互动。“我不是一个从书斋里读出来的教授，而是一个在实战战场上带兵打仗打出来的教授。”刘纪鹏还告诉在场的师生，“中国四十年的改革始终是经济实践走在前面，‘摸着石头过河’，但是经济改革的深处是产权，产权制度的保证是法律，所以‘法商结合’，经济实践在前面探索，法律制度在后面做保证，就成为了必然。因此，我们必须要推进法商结合，构建‘法律要为经济服务，理论要为实践服务，规范要为国情服务’的法商管理学理论体系。”对于法商管理，刘纪鹏做了精辟的概括。他认为，法商管理是法治市场经济、人类命运共同体的科学准则。法商管理学以商和管理为主，侧重工商伦理、企业管理、法人治理和公司法治，是对法商融合理论体系的创新。新时代需要发展法治市场经济，法商管理学既满足市场经济发展要求，又符合法治经济需要。因此，探索法商结合的融合创新，不仅仅是实现中国梦，把中国40年改革进行到底的重要任务，更是在新时代落实习近平主席提出的打造中国特色社会主义市场经济，为人类做出更大贡献而迈出的重要一步。进而，刘纪鹏提出了关于法商管理理论及其框架体系的论述。一是介绍法商管理理论诞生的宏微观背景，由此世界上第一本《法商管理学》在中国政法大学商学院诞生；二是探讨法商管理理论必须突破的几个难点，包括法商管理理论的定义、区别、研究对象、培养对象、英文翻译等；三是通过不同的案例分析，研究法商管理中的“工商伦理、企业管理、法人治理和公司法治”四大法商行为；四是总结习近平法治思想与法商管理学之间的联系，并得出中国经济模式的四个特征，即党对经济工作的坚强领导、市场经济的宏观运行机制、有为政府引导市场经济运行和国有资本包容其他资本的现代公司制度。此外，刘纪鹏还提出了关于资本金融学的论述。他认为，中国的金融市场可以分为三个阶段：第一阶段是1979年之前，属于“财政金融时代”；第二阶段是从上世纪80年代开始，属于“货币金融时代”；第三阶段是以1991年组建沪深交易所开启直接融资为起点，属于“资本金融时代”。如何解释资本金融？“资本金融是以投资银行为主导，以资本市场为基础，以直接股权为主要形式的投、融资体系。资本金融包括三个层面：多层次市场和多元投融资产品；各类中介机构；公司金融。”刘纪鹏如是说。在提问交流环节，刘纪鹏与在场的嘉宾、校内外师生和慕名而来的师生深入探讨了习近平法治思想、法商融合、法商管理学，资本金融学等问题，现场气氛十分热烈。同时，刘纪鹏向大家推荐了他所编著的《法商管理学》和《资本金融学》。最后，在热烈的掌声中，上海政法学院“名家讲坛”第六十讲圆满结束。（王钰鑫 撰稿）经济管理学院2020年11月30日
7,8,上海政法学院,名家讲坛 | 西北政法大学副校长张荣刚教授应邀作“风险视角：网络环境基础上的商业模式设计与塑造”学术报告,2020-11-30,11月27日下午，由科研处、经济管理学院主办的“名家讲坛”第六十一讲在上合基地举办。西北政法大学副校长张荣刚教授受邀为我校师生作题为“风险视角：网络环境基础上的商业模式设计与塑造”的精彩报告。科研处副处长潘汇丰（挂职）主持活动，经济管理学院院长刘志强教授参加与谈，70余位师生代表参加了本次讲坛。作为国内知名专家学者，张荣刚教授多年来一直致力于国家经济社会发展领域的风险与危机管理、产业投融资管理、企业社会责任投资等方面的研究。在本次讲座中，张荣刚从商业模式的一般定义出发，详细论述了风险视角下网络环境基础上的商业模式设计与塑造，并从法治视域出发，深入探讨了电子商务及其供应链风险问题。张荣刚首先从电子商务的日常生活情境切入，理论与实践相结合，进而引出电子商务的风险问题。他认为，在实际的电子商务中，因为法律体系、技术规则和跨境惯例的不完善，物流及其他主要电商发展要素受到负面影响甚至侵蚀，阻碍了电子商务健康、可持续发展。而法治视域的电子商务产业链条风险问题，意图聚焦新电子商务的产业链条发展，关注资源集约、结构合理、协同发展的电子商务产业链条，提升集群技术水平，提升产业链整体价值。紧接着，张荣刚主要论述了四个方面内容：一是电子商务及其供应链优势解读；二是电子商务及其供应链风险识别；三是电子商务及其供应链发展机遇；四是电子商务及其供应链发展建议。张荣刚还警示现场的学生：“电子商务及其供应链发展虽然是时代发展的必然乃至主流趋势，其不断发展而伴生出现的各类风险同样值得审视。”如何应对电子商务及其供应链风险？张荣刚认为，在尊重电子商务产业链自身演化规律的前提下，重视电子商务安全、适度干预（调整）其发展方向、控制现实风险，发挥电商既有和潜在优势（核心竞争力来源），培植链条内的信息和物流效能，延伸电商产业链、提升价值链、锻造供应链，为产业的线上链条、云上集聚发展奠定基础。在提问环节，张荣刚与我校经济管理学院学生就电子商务及其相关风险问题进行了广泛而深入的互动交流。张荣刚用简练而精彩的语言一一作答，使在场师生获得新的启发。最后，在热烈的掌声中，“名家讲坛”第六十一讲圆满结束。（王钰鑫 撰稿）经济管理学院2020年11月29日 
8,9,上海政法学院,上海市法学会立法学研究会2020年学术年会在我校召开,2020-11-16,11月15日，由上海市法学会立法学研究会和上海政法学院共同主办、上海政法学院应用社会科学研究院承办的“上海市法学会立法学研究会2020年学术年会”在中国-上海合作组织国际司法交流合作培训基地国际会议中心207会议室召开。本次会议主题为“国家治理体系和治理能力现代化的地方立法研究”，共有来自上海市人大、浙江省人大、江苏省人大、长三角执委、上海市司法局、上海市浦东新区司法局、上海市法学会立法学研究会、山东省法学会立法学研究会、安徽省法学会立法学研究会、上海社会科学院法学研究所、复旦大学、上海交通大学、山东大学、华东政法大学、安徽财经大学、湖南大学、上海对外经贸大学、上海师范大学、浙江工业大学、华东理工大学、上海政法学院、江苏金渠律师事务所等实务界、学术界的60余位代表参加，共襄盛举。大会第一阶段为开幕式与主题报告。本阶段由上海市法学会立法学研究会2020年轮值会长、上海政法学院经济法学院院长胡戎恩主持，上海政法学院闫立教授致欢迎辞对各位与会代表的到来表示热烈欢迎和感谢。上海市人大常委会法制委副主任委员阎锐致欢迎辞，希望借由本次会议能对我国立法发展的理论问题与实践困境作出新时代、新路径的思考和探索。在主题报告环节，浙江省人大法制委主任委员、中国法学会立法学研究会副会长丁祖年就长三角地区一体化协同立法问题作出深刻阐述。江苏省人大法制委主任委员王腊生就公共卫生地方性法规制度供给问题进行了前沿探讨。长三角执委法律组组长楼戬就长三角一体化示范区建设的情况作了详细报告。大会第二阶段为主题发言，该阶段由上海市人大常委会法工委办公室主任、上海市法学会立法学研究会秘书长张明君主持。山东省法学会立法学研究会副会长、山东大学（威海）法学院汪全胜教授从方法论的视角对立法量化评估的适用误区提出了思考；上海市司法局党委委员、副局长刘言浩就加强法治规划、提高立法质量进行专题发言。上海市法学会立法学研究会副会长、上海交通大学教务处副处长、凯原法学院林彦教授以《全国人大组织法》（修正草案）为切入点，对维护全国人民代表大会的民主功能作了探讨；浙江省人大常委会法工委办公室副主任吴江就地方立法推动省域治理现代化作了前沿思考。上海市浦东新区司法局副局长、上海市法学会立法学研究会副会长黄爱武和上海市法学会港澳台法律研究会会长、上海市法学会立法学研究会副会长、华东政法大学朱应平教授对发言进行了精彩点评。下午进行会议主题交流环节。主题交流的第一阶段由上海市法学会立法学研究会副秘书长姚魏主持。嘉兴市人大常委会法工委副主任罗建明就嘉兴市地方立法中的创新实践探索及思考进行了主题发言，分享了嘉兴市人大立法的有益经验；安徽省法学会立法学研究会副会长、安徽财经大学黄信瑜教授就台胞权益保护立法的相关问题作了前沿研究；上海社会科学院法学研究所副研究员邓少岭以《上海市生活垃圾管理条例》为例，展开对治理理念与立法技术相关问题的探讨；上海政法学院孙波副教授就规范性文件备案审查结果溯及力的问题发表了新见解；湖南大学法学院助理教授周宇骏就我国立法舆论引导工作中的公共议题控制机制问题给出新启发；上海政法学院讲师李晶就区块链技术在突发公共卫生事件治理中的应用给出新思考。上海对外经贸大学法学院申海平副教授和华东政法大学教师郭清梅对发言进行了精彩点评。 主题交流环节的第二阶段由上海市法学会立法学研究会会长、华东政法大学刘松山主持。上海师范大学法政学院石文龙教授就提升地方立法质量的路径提出了自己的独特见解；浙江工业大学文化与法制研究中心副主任粟丹副教授以浙江省2000年以后的地方性法规为对象，对数字经济背景下地方立法精细化的困境与出路做了提炼并给出方向性思考；江苏金渠律师事务所主任邹小新就《物业管理条例》修改所涉问题提出思考和建议；上海交通大学凯原法学院博士研究生谭嘉玲从规范分析的角度对证监会规章制定权的合法性危机及其消解作了报告；复旦大学博士研究生张琳就民营经济的激励型地方立法相关问题提出了建设性思考。最后本环节由华东理工大学郭曰君教授和上海市法学会立法学研究会副秘书长、华东政法大学渠滢副教授作出精彩点评。 会议总结和闭幕式由黄爱武副局长主持、王腊生主任和胡戎恩会长作会议总结。本次会议汇聚了各位专家学者和实务工作者诸多学术成果和思想火花，其研讨成果必将对未来立法工作和研究产生积极影响。在各位与会代表的积极参加和共同努力下，上海市法学会立法学研究会2020年学术年会取得圆满成功。（刘孝、朱婧婷撰稿 吕锦涛等摄影）应用社会科学研究院2020年11月16日
9,10,上海政法学院,上海外国语大学胡开宝教授应邀来语言文化学院作学术讲座：中国外交话语英译中的中国外交形象研究,2020-11-04,11月3日下午，语言文化学院举办上海政法学院名家讲坛第五十二讲暨语言文化讲坛第十讲。学院邀请了上海外国语大学语料库研究院院长，博士生导师胡开宝教授作了题为“中国外交话语英译中的中国外交形象研究”的讲座。本次讲坛由语言文化学院特聘院长倪传斌教授主持，来自语言文化学院、纪录片学院、政府管理学院、上合基地的近百名师生聆听讲座。讲座中，胡开宝从批评话语分析理论入手，采用语料库方法，从高频词、关键词、情态动词的应用和we的搭配等角度，分析了中国外交话语英译文本所塑造的中国外交形象。研究表明，中国外交话语英译所塑造的中国外交形象主要表现为脚踏实地、积极有为，热爱和平，重视合作与发展，追求共赢等特征。这些特征的形成不仅与中国外交政策和中国文化价值观有关，而且也与译者翻译策略和方法的应用相关。胡开宝总结了从外交话语英译文本的句法结构应用角度进行中国外交形象研究的意义与效果。他强调，近年来，中国政府高度重视中国文化软实力的提升，大力推进中国文化走出去战略的实施。在这一历史语境中，中国形象研究愈来愈受到学界的高度关注。在互动环节，听众们兴致盎然，就外交话语体系构建、语料库建设等问题进行了提问，胡开宝教授耐心解答。此次讲坛扩宽了师生的学术视野，活跃了科研思维，进一步坚定了“四个自信”。语言文化学院2020年11月3日
