,编号,主办单位,标题,公告日期,内容
0,1,上海财经大学法学院,上海财经大学海外法律论坛第11讲,2020-12-16,"高级律师 季杰妮主讲人简介：季杰妮，复旦大学法学学士、美国弗吉尼亚大学法学硕士，现任Shearman & Sterling高级律师，其专职领域主要有《反海外贿赂法》合规（FCPA）、内部调查、政府执法行动、跨国商业诉讼，同时针对美国证券交易委员会（SEC)、美国司法部(DOJ)、英国严重欺诈调查署(SFO)所发起的合规调查提供专业咨询。自2010年，季律师已经手了众多备受瞩目的调查案与诉讼案，在医护、医药、医疗设备、商业咨询、金融、工业、汽车等领域为跨国公司、中国公司提供代理。JIENIJIJieni Ji is a senior associate in the Litigation practice. Her practice focuses on Foreign Corrupt Practices Act (FCPA) compliance,internal investigations, governmental enforcement actions, and complex cross-border commercial litigations. Jieni regularly counsels clients on inquiries and investigations initiated by the Securities and Exchange Commission (SEC), the Department of Justice (DOJ) and the Serious Fraud Office (SFO), matters involving securities misrepresentation, local anti-corruption, antitrust and data protection laws, internal anti-corruption and fraud investigations, and commercial litigations.Jieni has extensive experience advising clients on multi-jurisdictional complex investigations and compliance programs. Since 2010, Jieni has advised clients on a few high-profile investigations and litigations of many “firsts”, which received wide media coverage. She has represented both multinational and Chinese domestic companies in various sectors, including healthcare, pharmaceutical, medical device, business consulting, financial, industrial, and automobile.上海财经大学海外法律论坛第11讲主题：全球商业道德规范与合规标准Global Corporate Ethics, Compliance and Governance 主讲人：季杰妮   Shearman & Sterling 高级律师Keynote  Speaker: Jieni Ji  Senior Associate at Shearman & Sterling主持人：戴悦     上海财经大学法学院讲师Host: Daisy Dai  Assistant Professor of Law, SUFE时间：2020年12月18日（周五）下午14:00Date:  14:00 PM, December 18, 2019 (Friday)地点：上海财经大学法学院116会议室Location: 116 Conference Room, School of Law, SUFE"
1,2,上海财经大学法学院,上海财经大学民事诉讼法讲座第3讲,2020-12-01,傅郁林 教授主讲人简介：傅郁林，北京大学法学院教授、博士生导师，中国民事诉讼法学会副会长、国际诉讼法学会执委，主要研究领域民事诉讼法、仲裁法、证据法、比较司法制度。兼任中国国际经济贸易委员会、北京仲裁委员会等多家仲裁机构仲裁员。曾在《中国社会科学》、《中国法学》、《法学研究》、《中外法学》等权威核心刊物发表中英文学术论文百余篇，出版学术专著、译著十余部。其中关于审级制度、案件管理、裁判文书、审判方法、判例制度、民事检察权等问题的研究在国内外产生广泛而深入的影响。主题：民事司法权配置的维度与逻辑主讲人：傅郁林  北京大学法学院教授主持人：郝振江  上海财经大学法学院教授时　间：2020年12月06日14:30-16:30地　点：上海财经大学法学院116会议室
2,3,上海财经大学法学院,上海财经大学民事诉讼法讲座第2讲,2020-11-17,张卫平 教授主讲人简介：张卫平，清华大学法学院教授，博士研究生导师，天津大学卓越教授，中国政法大学客座教授。国务院特殊津贴获得者。中国法学会常务理事、中国法学会学术委员会委员、中国民事诉讼法研究会会长、中国检察学研究会副会长、中国仲裁法学研究会副会长，最高人民检察院咨询委员。出版《转换的逻辑——民事诉讼体制转型分析》《民事诉讼：关键词展开》《法学研究与教育方法论》等个人专著14部，合著著作50余部，在《法学研究》《中国法学》《法学家》《中外法学》等期刊发表论文202余篇。主  题：民事诉讼法与民法典实施的协调和对接主讲人：张卫平   清华大学法学院教授主持人：郝振江   上海财经大学法学院教授时  间：2020年11月23日18:30地  点：上海财经大学法学院116会议室
3,4,上海财经大学法学院,上海财经大学法学论坛第78讲,2020-11-12,王先林 教授主讲人简介：王先林，上海交通大学特聘教授、二级教授、博士生导师、凯原法学院经济法学科带头人，兼任国务院反垄断委员会专家咨询组成员、中国经济法学研究会副会长、上海市法学会竞争法研究会会长、国际竞争网络（ICN）非政府顾问（NGA）。获得包括司法部全国法学教材与科研成果一等奖在内的省部级奖励十余项，获全国“杰出中青年法学家提名奖”和“上海市优秀中青年法学家”“全国模范教师”称号，享受国务院特殊津贴，入选教育部“新世纪优秀人才支持计划”，“新世纪百千万人才工程”国家级人选，获上海市育才奖和宝钢优秀教师奖等。主    题： 知识产权领域的反垄断问题主讲人：王先林  上海交通大学特聘教授主持人：王全兴  上海财经大学法学院教授评议人：张占江  上海财经大学法学院教授                厉彦冰  上海国际组织与全球治理研究院 助理研究员                   袁  波  上海财经大学法学院讲师                吴清卿  上海财经大学法学院讲师时    间：2020年11月20日 14:30地    点：上海财经大学法学院116会议室
4,5,上海财经大学法学院,上海财经大学民事诉讼法讲座第1讲,2020-11-12,李 浩 教授主讲人简介：李 浩，南京师范大学教授、博士生导师。研究领域为民事诉讼法学、民事证据制度。兼任中国法学会学术委员会委员，中国民事诉讼法学研究会常务副会长，最高人民法院特邀咨询员，最高人民法院执行特邀咨询员、最高人民检察院专家咨询委员。江苏省法学会民事诉讼法学研究会会长。曾任第九届全国人民代表大会代表。代表作中专著为《民事证明责任研究》，论文为《民事审判中的调审分离》、《举证时限制度的困境与出路》。在《法学研究》、《中国法学》、《中外法学》、《法学家》、《政法论坛》、《现代法学》、《法学评论》、《法商研究》、《法学》等刊物上发表论文100余篇。主    题：起诉人范围拓展后民事公益诉讼面临的问题主讲人：李  浩   南京师范大学法学院教授主持人：郝振江  上海财经大学法学院教授时    间：2020年11月19日18:30地    点：上海财经大学法学院116会议室
5,6,上海财经大学法学院,上海财经大学法学论坛第77讲,2020-11-10,主    题：后真相时代的合法性问题——方法论的视角主讲人：陈忠  上海财经大学人文学院院长、教授主持人：宋晓燕  上海财经大学法学院院长、教授时    间：2020年11月10日 地    点：法学院116会议室
6,7,上海财经大学法学院,上海财经大学法学论坛第76讲,2020-11-07,主    题：用益物权生成机制的中国逻辑主讲人：蔡立东  吉林大学副校长、教授主持人：宋晓燕  上海财经大学法学院院长、教授与谈人：叶名怡  上海财经大学法学院、教授时    间：2020年11月7日 地    点：法学院116会议室
7,8,上海财经大学法学院,上海财经大学法学论坛第75讲,2020-11-02,主    题：民法典的法人分类：从非营利法人的角度主讲人：金锦萍  北京大学法学院副教授、北京大学法学院非营利组织法研究中心主任主持人：朱晓喆    上海财经大学法学院教授评议人：王全兴   上海财经大学法学院教授               叶名怡   上海财经大学法学院教授时    间：2020年11月05日 18:30地    点：上海财经大学法学院116会议室
8,9,上海财经大学法学院,上海财经大学法学论坛第74讲,2020-10-28,主    题：一起走进裁判的世界主讲人：丁俊峰   最高人民法院第二巡回法庭审判员主持人：朱晓喆   上海财经大学法学院教授  时    间：2020年10月28日 09:00-11:00地    点：上海财经大学武东路T10教室
9,10,上海财经大学法学院,上海财经大学法学论坛第73讲,2020-10-27,主    题：协商性程序中的无辜者认罪问题：比较与应对主讲人：秦策 南京师范大学法学院教授主持人：李睿 上海财经大学法学院实验与实践教学中心主任副教授评议人：王全兴   上海财经大学法学院经济法与社会法研究中心主任                葛伟军 上海财经大学法学院副院长、教授胡凌上海财经大学法学院副院长、副教授叶名怡   上海财经大学法学院教授时    间：2020年10月27日 18:30地    点：上海财经大学法学院116会议室
